place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Frederikssteens Fæstning	Frederikssteens Fæstning	fæstningen i Frederikshald (nu Halden, Norge).	1836	1836	4	O. T.	520	1	v4:520 (1836)	high	head-noun+located+place-type	
Frederikssteens … Fæstning	Frederikssteens … Fæstning	fæstningen i Frederikshald (nu Halden, Norge), hvor Karl 12. faldt 1718.	1836	1836	4	O. T.	391	1	v4:391 (1836)	high	head-noun+located+place-type	
Freiburg	Freiburg	Freibourg eller Fribourg, by i det vestlige Schweiz ved floden Saane; se kort.	1861	1861	15	Illustreret Tidende	209	1	v15:209 (1861)	high	se-kort+place-type	
fri Adgang	fri Adgang	det er usandsynligt, at H.C. Andersen skulle have fået fri adgang til Det Kgl. Teater før sin første opførelse, dvs. af Kjærlighed paa Nicolai Taarn, som havde premiere 25. april 1829.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	80	1	v17:80 (1855)	medium	located	
Friedrich August Leo	Dr. Leo	Friedrich August Leo, uddannet boghandler, havde en tid stået i lære i Andreas Frederik Høsts boghandel i København og været i huset hos Mendel Levin Nathanson; fra sin tid i København kendte han bl.a. H.C. Andersen og Henrik Hertz, hvis skuespil Kong René’s Datter, 1845, han 1846 havde udgivet i en tysk oversættelse. Da H.C. Andersen 1849 traf ham i Stockholm, var han redaktør af Carl B. Lorcks tidsskrift Nordischer Telegraph.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	86	1	v18:86 (1869)	medium	located	
Frijsenborg	Frijsenborg	hovedgård og gods ved Hammel, nordvest for Århus. ¶ hovedgård 2 km nordøst for Hammel ejet af konseilspræsident, lensgreve C.E. Krag-Juel-Vind-Frijs. H.C. Andersen opholdt sig her 12.-30. juni og igen 8.-15. juli.	1868	1868 1869	3 18	Bemærkninger	389	2	v3:389 (1868); v18:282 (1869)	high	head-noun+located+place-type	
Frue Kirke	Frue Kirke	Vor Frue Kirke i Odense.	1832	1832	16	Levnedsbog	64	1	v16:64 (1832)	medium	located+place-type	
Frøkenklosteret	Frøkenklosteret	Odense Adelige Jomfrukloster (Karen Brahes Kloster).	1836	1836	4	O. T.	587	1	v4:587 (1836)	high	head-noun+place-type	
fuldendt før Kirken	fuldendt før Kirken	den nuværende Peterskirke blev opført 1506-1626.	1835	1835	4	Improvisatoren	181	1	v4:181 (1835)	high	head-noun+place-type	
Fusina	Fusina	kystby på fastlandet vest for Venezia.	1835	1835 1855	4 17	Improvisatoren	346	2	v4:346 (1835); v17:155 (1855)	high	head-noun+located+place-type	
Fyrisaa	Fyrisaa	å, der løber igennem Uppsala og ud i Mälaren.	1851	1851	15	I Sverrig	69	1	v15:69 (1851)	high	head-noun+located+place-type	
Fyrste Graven	Fyrste Graven	storhertug Carl Augusts mausoleum på kirkegården i Weimar, hvor også Storhertuginde Louise, f. prinsesse af Hessen-Darmstadt, Goethe og Schiller er bisat.	1846	1846	16	Mit eget Eventyr uden Digtning	286	1	v16:286 (1846)	medium	located	
Fæstning	Fæstning	København var omgivet af volde med porte indtil 1857.	1849	1849	5	De to Baronesser	445	1	v5:445 (1849)	high	head-noun+place-type	
Fæstningen	Fæstningen	fæstningen på Ada Kaleh blev bygget af østrigerne i slutningen af 1600-tallet, men var på tyrkiske hænder 1738-1878.	1842	1842	14	En Digters Bazar	526	1	v14:526 (1842)	high	head-noun+located+place-type	
Földvár og Erscény	Földvár og Erscény	Dunaföldvár og Ercsi; se kort.	1842	1842	14	En Digters Bazar	550	1	v14:550 (1842)	high	se-kort	
Fødeby – Bogense	Fødeby – Bogense	H.C. Andersens mormor Anne Sørensdatter levede i Bogense fra 1804 til sin død 1825, men hans mor er ikke født der.	1846	1846	16	Mit eget Eventyr uden Digtning	189	1	v16:189 (1846)	medium	located	
første Hovedstad	første Hovedstad	vigtigste hovedstad.	1836	1836	4	O. T.	588	1	v4:588 (1836)	high	head-noun+place-type	
første Plads	første Plads	fornemste plads.	1835	1835	4	Improvisatoren	125	1	v4:125 (1835)	high	head-noun+place-type	
første Stad	første Stad	vigtigste by.	1835	1835	4	Improvisatoren	129	1	v4:129 (1835)	high	head-noun+place-type	
Fündüklu	Fündüklu	eller Fundukli, forstad ca. 4 km nordøst for Pera.	1842	1842	14	En Digters Bazar	490	1	v14:490 (1842)	medium	located+place-type	
Gaardskarlen fra de fem Flasker	Gaardskarlen fra de fem Flasker	i Skuespilleren imod sin Villie optræder personen Dalby i I,2 som »Gaardskarlen fra den forgyldte Hane«.	1840	1840	11	En Comedie i det Grønne	387	1	v11:387 (1840)	medium	located+place-type	
Gailingen	Gailingen	by ca. 8 km øst for Schaffhausen; se kort.	1842	1842	14	En Digters Bazar	240	1	v14:240 (1842)	high	se-kort+head-noun+located+place-type	
Galata	Galata	bydel på højre side af det Gyldne Horn.	1842	1842	14	En Digters Bazar	455	1	v14:455 (1842)	high	in-register+head-noun+place-type	geo-747059
Galati	Galatz	Galati, østrumænsk havneby på Donaus nord-‚ bred; se kort.	1842	1842	14	En Digters Bazar	485	1	v14:485 (1842)	high	se-kort+located+place-type	
Galipoli	Galipoli	Gallipoli (tyrkisk Gelibolu), se kort.	1842	1842	14	En Digters Bazar	451	1	v14:451 (1842)	high	se-kort	
Gallipoli	Gallipoli	den tyrkiske havneby Gelibolu på den europæiske side af Dardanellerne.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	219	1	v17:219 (1855)	high	head-noun+place-type	
gamle Gaard	gamle Gaard	Jonas Collins gård (bindingsværksbygning) i Bredgade 4 i København, hvor familien Collin boede fra 1802 til 1838, og hvor Louise Collin således voksede op.			8	(untitled)	35	1	v8:35 ()	medium	located+place-type	
Gammelholm	Gammel Holm	Gammelholm; bydel i København beliggende på det tidligere Bremerholm ud mod Amager.	1832	1832	16	Levnedsbog	84	1	v16:84 (1832)	high	head-noun+located+place-type	
Gammeltorv	Plads … Guldæbler	Gammeltorv, hvor springvandet på de kongelige fødselsdage springer med ‘guldæbler’, dvs. forgyldte kugler, som hviler på springvandets stråler.	1837	1837	5	Kun en Spillemand	111	1	v5:111 (1837)	high	head-noun+place-type	
Ganges	Ganges	hellig flod i Indien.	1833	1833 1837	5 7	Den femte Mai (1821)	442	2	v7:442 (1833); v5:188 (1837)	medium	located+place-type	
Garnisons-Kirken	Garnisons-Kirken	på Sankt Annæ Plads i København, færdigopført 1706.			8	(untitled)	452	1	v8:452 ()	medium	located+place-type	
Garnisonspladsen	Garnisonspladsen	nu Skt. Annæ Plads (ved Garnisonskirken, Den Herre Zebaoths Kirke). Pladsen var planlagt sammen med den øvrige Frederiksstad (omkring Amalienborg) 1750, men blev først beplantet 1852; skildringen må sigte til forholdene kort forinden. ¶ Sankt Annæ Plads i København.	1857	1857	6 8	»At være eller ikke være«	131	2	v6:131 (1857); v8:534 ()	medium	located+place-type	
Gehenna	Gehenna	navn på en klippedal syd for Jerusalem; den betragtedes som et urent sted og de usaliges pinested efter døden. 			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	316	1	v12:316 ()	medium	located+place-type	
Genfersøen	Genfersøen(s)	Genève søen, Lac Léman.	1868	1868	15	Et Besøg i Portugal 1866	468	1	v15:468 (1868)	high	head-noun+place-type	
Genil	Xenils	Genil, Jenil; flod (og dal, Valle del Genil) i udkanten af Sierra Nevada ved Granada.			8	Digte fra Spanien	342	1	v8:342 ()	high	head-noun+place-type	
Genova	Genua	Genova, italiensk havneby ved Det Liguriske Hav.	1868	1868	15	Et Besøg i Portugal 1866	438	1	v15:438 (1868)	medium	located+place-type	
Genua	Genua	stor handels- og havneby, tidligere selvstændig republik, 1814-1861 del af kongeriget Sardinien; se kort; jf. Dagbøger I, s.191-197.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	490	1	v15:490 (1870)	high	se-kort+place-type	
Genzano di Roma	Genzano	Genzano di Roma, godt 2 km sydøst for Ariccia; se kort.	1842	1842	14	En Digters Bazar	338	1	v14:338 (1842)	high	se-kort	geo-3176203
Gernrode	Gernrode	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	123	1	v14:123 (1831)	high	in-register+se-kort	geo-2920999
Giardino di Boboli	Hertugens Slotshave	Giardino di Boboli, haveanlæg ved Palazzo Pitti.	1842	1842	14	En Digters Bazar	271	1	v14:271 (1842)	medium	located	
Gibraltar	Gibraltar	se kort. H.C. Andersen opholdt sig her 30. oktober-2. november 1862.	1863	1863	15	I Spanien	322	1	v15:322 (1863)	high	se-kort	
Gifhorn	Gifhorn	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	88	1	v14:88 (1831)	high	in-register+se-kort	geo-2920478
gifte sig … een af min Faders Venner	gifte sig … een af min Faders Venner	Anne Marie Andersdatter blev 8. juli 1818 i Sankt Knuds Kirke i Odense viet til Niels Jørgen Gundersen.	1832	1832	16	Levnedsbog	70	1	v16:70 (1832)	medium	located+place-type	
Gisselfeld	Gisselfeldt | Familien Danneskjold paa Gisselfeld	Gisselfeld, hovedgård fra middelalderen 14 km nordøst for Næstved. ¶ Gisselfeld; herregård ved Haslev på Sjælland. ¶ Gisselfeld, hovedgård nordøst for Næstved, testamenteredes 1701 til Gisselfeld Adelige Jomfrukloster; klosterets leder har siden været et medlem af slægten Danneskiold-Samsøe.	1839	1839 1855 1863	3 7 8 17	Sang afsjunget ved Deres kongelige Høiheder Prinds Christians og Prindsesse Caroline Amalies Møde paa Gisselfeldt den 30 August 1839	561	4	v7:561 (1839); v17:233 (1855); v3:372 (1863); v8:31 ()	high	located+place-type+head-noun	
Gisselfeldt	Gisselfeldt	herregård ved Haslev på Sjælland. ¶ hovedgård på Sjælland 14 km nordøst for Haslev.	1846	1846 1849	5 16	Mit eget Eventyr uden Digtning	261	2	v16:261 (1846); v5:444 (1849)	high	head-noun+located+place-type	
Giurgiu	Giurgevo	Giurgiu; se kort.	1842	1842	14	En Digters Bazar	512	1	v14:512 (1842)	high	se-kort	geo-677106
give din Krone til München	give din Krone til München	i årene 1806-1818 blev den frie rigsstad Nürnberg indlemmet i Bayern og dermed underlagt hovedstaden München; se kort.	1842	1842	14	En Digters Bazar	238	1	v14:238 (1842)	high	se-kort	
Gjødvad	Gjødvad	landsby øst for Silkeborg.	1857	1857	6	»At være eller ikke være«	43	1	v6:43 (1857)	high	head-noun+located+place-type	
Glorup	Glorup	hovedgård i Gudme Herred, 13 km syd for Nyborg; ejeren var geheimekonferensråd, grev Gebhard Moltke-Hvitfeldt; H.C. Andersen besøgte gården 1. gang 1839, siden 23 gange.	1846	1846	16	Mit eget Eventyr uden Digtning	245	1	v16:245 (1846)	high	head-noun+located+place-type	
Glorup i Fyen	Glorup i Fyen	hovedgård fra middelalderen syd for Nyborg.	1863	1863	3	Bemærkninger	376	1	v3:376 (1863)	high	head-noun+located+place-type	
Goa	Goa	førende handelsby på Malabarkysten, nu kun ruinby.	1868	1868	15	Et Besøg i Portugal 1866	438	1	v15:438 (1868)	high	head-noun+located+place-type	
Gobulaza	Gobulaza	Golubacz (se kort), fæstning, hvis ældste dele går tilbage til romertiden, jf. Müller bd. 2, s. 186f.	1842	1842	14	En Digters Bazar	542	1	v14:542 (1842)	high	se-kort+place-type	
Goethe … Familien	Goethe … Familien	øjensynligt henvisning til J.W. von Goethes digt »Erlkönig« fra syngespillet Die Fischerin, 1782; selvstændiggjort og optaget i »Vermischte Gedichte«, Goethe’s Schriften, bind 8, 1789.	1875	1875	9	Nær og Fjern	567	1	v9:567 (1875)	medium	located	
Golfo di Catania	Catania-Bugten	Golfo di Catania, ud for byen Catania; se kort.	1842	1842	14	En Digters Bazar	358	1	v14:358 (1842)	high	se-kort	
gothisk gamle	gothisk gamle (Frederiksborg)	fra middelalderen, ærværdige; Frederiksborg Slot i Nordsjælland, hvis nuværende hovedbygning er fra starten af 1600-tallet, er opført på samme sted i slotssøen, hvor den middelalderlige herregård Hillerødsholm tidligere lå.	1839	1839	7	Frederiksborg	548	1	v7:548 (1839)	medium	located+place-type	
Graabrødre Kirke	Kirke og Klostergaard | gammel … Kirke	Graabrødre Kirke, delvis nedrevet i 1828, var oprindelig klosterkirke i det gamle Gråbrødrekloster (ca. 1236-1533). En tofløjet bygning lidt nord for kirken blev på romanens tid i folkemunde kaldt Klostergaarden. ¶ Graabrødre Kirke, nedrevet 1817-1819.	1837	1837 1846	5 16	Kun en Spillemand	44	2	v5:44 (1837); v16:183 (1846)	high	head-noun+place-type	
Graabrødre-Kirke	Graabrødre-Kirke	den forfaldne klosterkirke, som var opført i 1280’erne, og hvis nedrivning påbegyndtes 1805, blev af de spanske hjælpetropper brugt til militært depot og kvarter.	1836	1836	11	Skilles og mødes	173	1	v11:173 (1836)	high	head-noun+place-type	
Granada	Granada	se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Greenwich	Greenwich	bydel i London; en kongelig residens i Greenwich er omtalt, mens Edvard 1. (konge 1272-1307) regerede. Henrik 5. (konge 1413-1422) opførte her slottet Bella Court, som bestod under skiftende navne og var genstand for ombygninger og, bl.a. under Elisabeth 1., for udvidelser. Elisabeth holdt hof her.	1774	1774	11	Festen paa Kenilworthengelsk by sydøst for Birmingham med ruiner af Kenilworth Slot.Kenilworth	47	1	v11:47 (1774)	high	head-noun+located+place-type	
grelle Billeder	grelle Billeder	kirken blev i slutningen af 1500-tallet udsmykket med fresker med martyrers lidelser af Niccol  Ciragnani Pomarancio (1500-tallet) og Antonio Tempesta (1555-1630).	1842	1842	14	En Digters Bazar	315	1	v14:315 (1842)	high	head-noun+place-type	
Grindelwald	Grindelwald	bjergtop sydvest for Interlaken.			2	(untitled)	391	1	v2:391 ()	medium	located	
Grotterne	Grotterne	under vandfaldet er to grotter, Grotta di Nettuno og Grotta delle Sirene.	1842	1842	14	En Digters Bazar	321	1	v14:321 (1842)	high	in-register	place-000073
Großenhain	Grosenhain	Großenhain; se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	171	1	v14:171 (1831)	high	se-kort	geo-2916630
Grund	Grund	(tysk) dal.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	150	1	v14:150 (1831)	high	head-noun+place-type	
Grönne Gade	Grönne Gade	Store Grønnegade {D5-D6} eller Lille Grønnegade (efter 1795: Ny Adelgade {E6}), gader i det indre København, som Bertel Thorvaldsen begge har boet i.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	391	1	v9:391 (1840)	high	head-noun+place-type	
Guadalaviar	Guadalaviar(s)	også kaldet Turia; flod, der munder ud i Middelhavet ved Valencia.	1863	1863	15	I Spanien	246	1	v15:246 (1863)	medium	located+place-type	
Guadalmedina	Guadalmedina(s)	flod, der løber igennem og udmunder i Málaga.	1863	1863	15	I Spanien	323	1	v15:323 (1863)	high	head-noun+place-type	
Guadalmedina-Floden	Guadalmedina-Floden	floden løber igennem den østlige del af byens centrum.	1863	1863	15	I Spanien	279	1	v15:279 (1863)	high	head-noun+place-type	
Guadalquivir	Guadalquivir	flod, der udspringer nord for Sierra Nevada og løber forbi Cordóba, Sevilla og dernæst ud i Cádiz-golfen, nord for byen Cádiz.	1863	1863	15	I Spanien	353	1	v15:353 (1863)	high	head-noun+located+place-type	
guldførende Darro	guldførende Darro	floden løber fra øst igennem Granada og har været guldholdig, jf. Hackländer 2 s. 252 »ihren goldführenden Sand«.	1863	1863	15	I Spanien	292	1	v15:292 (1863)	high	head-noun+located+place-type	
Guldkroken	Guldkroken	ældre navn på egnen omkring byen Hjo (se kort 2) på vestsiden af Vättern.	1851	1851	15	I Sverrig	37	1	v15:37 (1851)	high	se-kort+place-type	
Gurre	Gurre	kongeligt jagtslot ved Gurre Sø i Nordsjælland.			8	(untitled)	44	1	v8:44 ()	medium	located+place-type	
Gävle	Gefle	Gävle; se kort 1 og 2.	1851	1851	15	I Sverrig	118	1	v15:118 (1851)	high	se-kort	
Haarlem	Haarlem	by i Holland.	1849	1849	5	De to Baronesser	421	1	v5:421 (1849)	high	head-noun+located+place-type	
Haarlemmer	Haarlemmer(-Tulipaner)	fra Haarlem, by i Holland.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	239	1	v9:239 (1829)	medium	located+place-type	
Haase	Haase	Karl August von Hase, professor i kirkehistorie i Jena.	1846	1846	16	Mit eget Eventyr uden Digtning	313	1	v16:313 (1846)	medium	located	
Hakon Jarl	Hakon Jarl	Oehlenschläger »Hakon Jarl hin Rige. Et Sørgespil« fra Nordiske Digte, 1807.	1833	1833	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	401	1	v7:401 (1833)	medium	located	
Hakons Død	Hakons Død	jf. Oehlenschlägers »Hakon Jarl hin Rige. Et Sørgespil« fra Nordiske Digte, 1807.			7	Til den babyloniske Taarnbygger i Miniature	171	1	v7:171 ()	medium	located	
Hald … Indsøe	Hald … Indsøe	i dag navnet på en herregård beliggende sydvest for Viborg. Navnet har dog gennem tiden været knyttet til en række gårde og en borg, der alle har været beliggende i nærheden af den nuværende herregård. Muligvis gjaldt H.C. Andersens besøg det såkaldt tredje Hald – resterne af en bispeborg, der blev opført i 1528 – ved Hald Sø.	1832	1832	16	Levnedsbog	159	1	v16:159 (1832)	medium	located+place-type	
Halland	Halland(s)	landskab i det vestlige Sydsverige langs Kattegatkysten mellem Skåne og Göteborg.	1851	1851	15	I Sverrig	13	1	v15:13 (1851)	high	head-noun+place-type	
Halle	Halle	se kort. ¶ hal.	1831	1831 1863	14 15	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	131	2	v14:131 (1831); v15:286 (1863)	high	in-register+se-kort	geo-2911522
Hallein	Halleins Saltværk	Hallein, by syd for Salzburg, hvis saltværk H.C. Andersen besøgte 3. juni 1831.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	93	1	v18:93 (1869)	medium	located+place-type	
Hallein … Saltkogeriet	Hallein … Saltkogeriet	by i Østrig med saltmine, hvorigennem besøgende kunne gå og rutsche ad meget stejle gange til bjergets fod.	1851	1851	15	I Sverrig	124	1	v15:124 (1851)	high	head-noun+located+place-type	
Hallein … Saltværket	Hallein … Saltværket	by 15 km syd for Salzburg; H.C. Andersen besøgte saltværket 3. juni.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	162	1	v17:162 (1855)	high	head-noun+located+place-type	
Halliger	Halliger	øer med marskland ved Slesvigs vestkyst.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	287	1	v17:287 (1855)	high	head-noun+located+place-type	
Halligerne	Halligerne	ti ganske flade øer med marskland ved Slesvigs vestkyst. ¶ øgruppe på ti uindigede småøer i det Nordfrisiske Vadehav ved Slesvig-Holstens vestkyst.	1846	1846 1849	5 16	Mit eget Eventyr uden Digtning	290	2	v16:290 (1846); v5:355 (1849)	high	located+place-type+head-noun	
Hamborg	Hamborg	se kort.	1842	1842	14	En Digters Bazar	221	2	v14:221 (1842); v14:576 (1842)	high	se-kort	
Hamilton	Hamilton	byen Hamilton i Skotland (sydvest for Glasgow), hvorfra David Livingstone oprindelig kom, og hvor en stor del af hans familie var bosat.	1872	1872	9	Berlingske politiske og Avertissements-Tidende	555	1	v9:555 (1872)	high	head-noun+place-type	
Hamlets Grav	Hamlets Grav	Marienlyst Slot lidt nord for Helsingør skulle efter dronning Juliane Maries død 1796 have været hofslot; i den anledning anlagdes nær slottet en romantisk have, »Hamlets have«, med bl.a. en gravhøj, der kaldtes »Hamlets grav«. Slottet kom dog ikke til at huse hoffet.	1836	1836	11	Skilles og mødes	200	1	v11:200 (1836)	medium	located+place-type	
